idx,task_id,0_count,1_count,2_count,3_count,total_count,0_share,1_share,2_share,3_share,agreement,quadkey,project_internal_id,group_internal_id,task_internal_id,geom,tile_z,url,tile_x,tile_y
0,18-155308-149594,6,0,0,0,6,1.0,0.0,0.0,0.0,1.0,300301311012123120,2962,98948,15287441,"MULTIPOLYGON(((33.2830810546875 -24.6395278806334,33.2844543457031 -24.6395278806334,33.2844543457031 -24.6407761254856,33.2830810546875 -24.6407761254856,33.2830810546875 -24.6395278806334)))",18,https://ecn.t0.tiles.virtualearth.net/tiles/a300301311012123120.jpeg?g=15384&mkt=en-US&token=REDACTED,155308,149594
1,18-155308-149595,6,0,0,0,6,1.0,0.0,0.0,0.0,1.0,300301311012123122,2962,98948,15287442,"MULTIPOLYGON(((33.2830810546875 -24.6407761254856,33.2844543457031 -24.6407761254856,33.2844543457031 -24.642024357864,33.2830810546875 -24.642024357864,33.2830810546875 -24.6407761254856)))",18,https://ecn.t0.tiles.virtualearth.net/tiles/a300301311012123122.jpeg?g=15384&mkt=en-US&token=REDACTED,155308,149595
2,18-155308-149596,6,0,0,0,6,1.0,0.0,0.0,0.0,1.0,300301311012123300,2962,98948,15287443,"MULTIPOLYGON(((33.2830810546875 -24.642024357864,33.2844543457031 -24.642024357864,33.2844543457031 -24.6432725777682,33.2830810546875 -24.6432725777682,33.2830810546875 -24.642024357864)))",18,https://ecn.t0.tiles.virtualearth.net/tiles/a300301311012123300.jpeg?g=15384&mkt=en-US&token=REDACTED,155308,149596
3,18-155309-149594,1,5,0,0,6,0.16666666666666666,0.8333333333333334,0.0,0.0,0.6666666666666666,300301311012123121,2962,98948,15287444,"MULTIPOLYGON(((33.2844543457031 -24.6395278806334,33.2858276367188 -24.6395278806334,33.2858276367188 -24.6407761254856,33.2844543457031 -24.6407761254856,33.2844543457031 -24.6395278806334)))",18,https://ecn.t0.tiles.virtualearth.net/tiles/a300301311012123121.jpeg?g=15384&mkt=en-US&token=REDACTED,155309,149594
4,18-155309-149595,6,0,0,0,6,1.0,0.0,0.0,0.0,1.0,300301311012123123,2962,98948,15287445,"MULTIPOLYGON(((33.2844543457031 -24.6407761254856,33.2858276367188 -24.6407761254856,33.2858276367188 -24.642024357864,33.2844543457031 -24.642024357864,33.2844543457031 -24.6407761254856)))",18,https://ecn.t0.tiles.virtualearth.net/tiles/a300301311012123123.jpeg?g=15384&mkt=en-US&token=REDACTED,155309,149595
5,18-155309-149596,5,0,1,0,6,0.8333333333333334,0.0,0.16666666666666666,0.0,0.6666666666666666,300301311012123301,2962,98948,15287446,"MULTIPOLYGON(((33.2844543457031 -24.642024357864,33.2858276367188 -24.642024357864,33.2858276367188 -24.6432725777682,33.2844543457031 -24.6432725777682,33.2844543457031 -24.642024357864)))",18,https://ecn.t0.tiles.virtualearth.net/tiles/a300301311012123301.jpeg?g=15384&mkt=en-US&token=REDACTED,155309,149596
6,18-155310-149594,6,0,0,0,6,1.0,0.0,0.0,0.0,1.0,300301311012123130,2962,98948,15287447,"MULTIPOLYGON(((33.2858276367188 -24.6395278806334,33.2872009277344 -24.6395278806334,33.2872009277344 -24.6407761254856,33.2858276367188 -24.6407761254856,33.2858276367188 -24.6395278806334)))",18,https://ecn.t0.tiles.virtualearth.net/tiles/a300301311012123130.jpeg?g=15384&mkt=en-US&token=REDACTED,155310,149594
7,18-155310-149595,0,6,0,0,6,0.0,1.0,0.0,0.0,1.0,300301311012123132,2962,98948,15287448,"MULTIPOLYGON(((33.2858276367188 -24.6407761254856,33.2872009277344 -24.6407761254856,33.2872009277344 -24.642024357864,33.2858276367188 -24.642024357864,33.2858276367188 -24.6407761254856)))",18,https://ecn.t0.tiles.virtualearth.net/tiles/a300301311012123132.jpeg?g=15384&mkt=en-US&token=REDACTED,155310,149595
8,18-155310-149596,0,6,0,0,6,0.0,1.0,0.0,0.0,1.0,300301311012123310,2962,98948,15287449,"MULTIPOLYGON(((33.2858276367188 -24.642024357864,33.2872009277344 -24.642024357864,33.2872009277344 -24.6432725777682,33.2858276367188 -24.6432725777682,33.2858276367188 -24.642024357864)))",18,https://ecn.t0.tiles.virtualearth.net/tiles/a300301311012123310.jpeg?g=15384&mkt=en-US&token=REDACTED,155310,149596
9,18-155311-149594,5,1,0,0,6,0.8333333333333334,0.16666666666666666,0.0,0.0,0.6666666666666666,300301311012123131,2962,98948,15287450,"MULTIPOLYGON(((33.2872009277344 -24.6395278806334,33.28857421875 -24.6395278806334,33.28857421875 -24.6407761254856,33.2872009277344 -24.6407761254856,33.2872009277344 -24.6395278806334)))",18,https://ecn.t0.tiles.virtualearth.net/tiles/a300301311012123131.jpeg?g=15384&mkt=en-US&token=REDACTED,155311,149594
