,group_internal_id,project_internal_id,group_id,project_id,number_of_tasks,required_count,finished_count,progress,total_area,time_spent_max_allowed,number_of_users_required,x_max,x_min,y_max,y_min
0,98948,2962,g101,01KMMX0C9MG396SCV8W8CZ8RY3,84,6,0,0,1.614755903077543,117.6,6,155335,155308,149596,149594
1,98949,2962,g102,01KMMX0C9MG396SCV8W8CZ8RY3,174,6,0,0,3.3446531685251,243.6,6,155365,155308,149599,149597
2,98950,2962,g103,01KMMX0C9MG396SCV8W8CZ8RY3,270,6,0,0,5.189671252099752,378.0,6,155396,155307,149602,149600
3,98951,2962,g104,01KMMX0C9MG396SCV8W8CZ8RY3,360,6,0,0,6.919151232039929,504.0,6,155426,155307,149605,149603
4,98952,2962,g105,01KMMX0C9MG396SCV8W8CZ8RY3,228,6,0,0,4.381869148156524,319.2,6,155381,155306,149608,149606
5,98953,2962,g106,01KMMX0C9MG396SCV8W8CZ8RY3,228,6,0,0,4.381869148148179,319.2,6,155457,155382,149608,149606
6,98954,2962,g107,01KMMX0C9MG396SCV8W8CZ8RY3,276,6,0,0,5.304053194401443,386.4,6,155395,155304,149611,149609
7,98955,2962,g108,01KMMX0C9MG396SCV8W8CZ8RY3,276,6,0,0,5.304053194401443,386.4,6,155487,155396,149611,149609
8,98956,2962,g109,01KMMX0C9MG396SCV8W8CZ8RY3,324,6,0,0,6.226127741826653,453.6,6,155407,155300,149614,149612
9,98957,2962,g110,01KMMX0C9MG396SCV8W8CZ8RY3,330,6,0,0,6.341426403714419,462.0,6,155517,155408,149614,149612
