idx,task_id,task_partition_index,0_count,1_count,2_count,total_count,0_share,1_share,2_share,agreement,quadkey,project_internal_id,group_internal_id,task_internal_id,geom,tile_z,url,tile_x,tile_y
0,18-121406-124869,0,0,1,1,2,0.0,0.5,0.5,0.0,033321123222111312,823,59533,2576009,"MULTIPOLYGON(((-13.2742309570312 8.48731334006789,-13.2728576660156 8.48731334006789,-13.2728576660156 8.4859550861536,-13.2742309570312 8.4859550861536,-13.2742309570312 8.48731334006789)))",18,https://ecn.t0.tiles.virtualearth.net/tiles/a033321123222111312.jpeg?g=15384&mkt=en-US&token=REDACTED,121406,124869
1,18-121406-124869,1,0,1,1,2,0.0,0.5,0.5,0.0,033321123222111312,823,59533,2576009,"MULTIPOLYGON(((-13.2742309570312 8.48731334006789,-13.2728576660156 8.48731334006789,-13.2728576660156 8.4859550861536,-13.2742309570312 8.4859550861536,-13.2742309570312 8.48731334006789)))",18,https://ecn.t0.tiles.virtualearth.net/tiles/a033321123222111312.jpeg?g=15384&mkt=en-US&token=REDACTED,121406,124869
2,18-121406-124869,2,0,0,2,2,0.0,0.0,1.0,1.0,033321123222111312,823,59533,2576009,"MULTIPOLYGON(((-13.2742309570312 8.48731334006789,-13.2728576660156 8.48731334006789,-13.2728576660156 8.4859550861536,-13.2742309570312 8.4859550861536,-13.2742309570312 8.48731334006789)))",18,https://ecn.t0.tiles.virtualearth.net/tiles/a033321123222111312.jpeg?g=15384&mkt=en-US&token=REDACTED,121406,124869
3,18-121406-124869,3,0,1,1,2,0.0,0.5,0.5,0.0,033321123222111312,823,59533,2576009,"MULTIPOLYGON(((-13.2742309570312 8.48731334006789,-13.2728576660156 8.48731334006789,-13.2728576660156 8.4859550861536,-13.2742309570312 8.4859550861536,-13.2742309570312 8.48731334006789)))",18,https://ecn.t0.tiles.virtualearth.net/tiles/a033321123222111312.jpeg?g=15384&mkt=en-US&token=REDACTED,121406,124869
4,18-121406-124869,4,0,1,1,2,0.0,0.5,0.5,0.0,033321123222111312,823,59533,2576009,"MULTIPOLYGON(((-13.2742309570312 8.48731334006789,-13.2728576660156 8.48731334006789,-13.2728576660156 8.4859550861536,-13.2742309570312 8.4859550861536,-13.2742309570312 8.48731334006789)))",18,https://ecn.t0.tiles.virtualearth.net/tiles/a033321123222111312.jpeg?g=15384&mkt=en-US&token=REDACTED,121406,124869
5,18-121406-124869,5,0,1,1,2,0.0,0.5,0.5,0.0,033321123222111312,823,59533,2576009,"MULTIPOLYGON(((-13.2742309570312 8.48731334006789,-13.2728576660156 8.48731334006789,-13.2728576660156 8.4859550861536,-13.2742309570312 8.4859550861536,-13.2742309570312 8.48731334006789)))",18,https://ecn.t0.tiles.virtualearth.net/tiles/a033321123222111312.jpeg?g=15384&mkt=en-US&token=REDACTED,121406,124869
6,18-121406-124869,6,0,0,2,2,0.0,0.0,1.0,1.0,033321123222111312,823,59533,2576009,"MULTIPOLYGON(((-13.2742309570312 8.48731334006789,-13.2728576660156 8.48731334006789,-13.2728576660156 8.4859550861536,-13.2742309570312 8.4859550861536,-13.2742309570312 8.48731334006789)))",18,https://ecn.t0.tiles.virtualearth.net/tiles/a033321123222111312.jpeg?g=15384&mkt=en-US&token=REDACTED,121406,124869
7,18-121406-124869,7,1,0,1,2,0.5,0.0,0.5,0.0,033321123222111312,823,59533,2576009,"MULTIPOLYGON(((-13.2742309570312 8.48731334006789,-13.2728576660156 8.48731334006789,-13.2728576660156 8.4859550861536,-13.2742309570312 8.4859550861536,-13.2742309570312 8.48731334006789)))",18,https://ecn.t0.tiles.virtualearth.net/tiles/a033321123222111312.jpeg?g=15384&mkt=en-US&token=REDACTED,121406,124869
8,18-121406-124869,8,0,1,1,2,0.0,0.5,0.5,0.0,033321123222111312,823,59533,2576009,"MULTIPOLYGON(((-13.2742309570312 8.48731334006789,-13.2728576660156 8.48731334006789,-13.2728576660156 8.4859550861536,-13.2742309570312 8.4859550861536,-13.2742309570312 8.48731334006789)))",18,https://ecn.t0.tiles.virtualearth.net/tiles/a033321123222111312.jpeg?g=15384&mkt=en-US&token=REDACTED,121406,124869
9,18-121406-124869,9,0,2,0,2,0.0,1.0,0.0,1.0,033321123222111312,823,59533,2576009,"MULTIPOLYGON(((-13.2742309570312 8.48731334006789,-13.2728576660156 8.48731334006789,-13.2728576660156 8.4859550861536,-13.2742309570312 8.4859550861536,-13.2742309570312 8.48731334006789)))",18,https://ecn.t0.tiles.virtualearth.net/tiles/a033321123222111312.jpeg?g=15384&mkt=en-US&token=REDACTED,121406,124869
