,project_internal_id,group_internal_id,task_internal_id,user_internal_id,project_id,group_id,task_id,task_partition_index,user_id,timestamp,start_time,end_time,app_version,client_type,result,username
0,823,59533,2576056,825905,01KWVDB9RCEMFXK2GMMQYHFMN6,g101,18-121421-124871,15,W7gNBV2QzJZlpJHoYpshzEjLbty2,2026-07-06 10:24:45.031+00,2026-07-06 10:24:45.031+00,2026-07-06 10:27:23.823+00,3.0.0 (0)-dev,android,0,ramsharan
1,823,59533,2576056,825905,01KWVDB9RCEMFXK2GMMQYHFMN6,g101,18-121421-124871,14,W7gNBV2QzJZlpJHoYpshzEjLbty2,2026-07-06 10:24:45.031+00,2026-07-06 10:24:45.031+00,2026-07-06 10:27:23.823+00,3.0.0 (0)-dev,android,0,ramsharan
2,823,59533,2576056,825905,01KWVDB9RCEMFXK2GMMQYHFMN6,g101,18-121421-124871,13,W7gNBV2QzJZlpJHoYpshzEjLbty2,2026-07-06 10:24:45.031+00,2026-07-06 10:24:45.031+00,2026-07-06 10:27:23.823+00,3.0.0 (0)-dev,android,0,ramsharan
3,823,59533,2576056,825905,01KWVDB9RCEMFXK2GMMQYHFMN6,g101,18-121421-124871,12,W7gNBV2QzJZlpJHoYpshzEjLbty2,2026-07-06 10:24:45.031+00,2026-07-06 10:24:45.031+00,2026-07-06 10:27:23.823+00,3.0.0 (0)-dev,android,0,ramsharan
4,823,59533,2576056,825905,01KWVDB9RCEMFXK2GMMQYHFMN6,g101,18-121421-124871,11,W7gNBV2QzJZlpJHoYpshzEjLbty2,2026-07-06 10:24:45.031+00,2026-07-06 10:24:45.031+00,2026-07-06 10:27:23.823+00,3.0.0 (0)-dev,android,0,ramsharan
5,823,59533,2576056,825905,01KWVDB9RCEMFXK2GMMQYHFMN6,g101,18-121421-124871,10,W7gNBV2QzJZlpJHoYpshzEjLbty2,2026-07-06 10:24:45.031+00,2026-07-06 10:24:45.031+00,2026-07-06 10:27:23.823+00,3.0.0 (0)-dev,android,0,ramsharan
6,823,59533,2576056,825905,01KWVDB9RCEMFXK2GMMQYHFMN6,g101,18-121421-124871,9,W7gNBV2QzJZlpJHoYpshzEjLbty2,2026-07-06 10:24:45.031+00,2026-07-06 10:24:45.031+00,2026-07-06 10:27:23.823+00,3.0.0 (0)-dev,android,0,ramsharan
7,823,59533,2576056,825905,01KWVDB9RCEMFXK2GMMQYHFMN6,g101,18-121421-124871,8,W7gNBV2QzJZlpJHoYpshzEjLbty2,2026-07-06 10:24:45.031+00,2026-07-06 10:24:45.031+00,2026-07-06 10:27:23.823+00,3.0.0 (0)-dev,android,0,ramsharan
8,823,59533,2576056,825905,01KWVDB9RCEMFXK2GMMQYHFMN6,g101,18-121421-124871,7,W7gNBV2QzJZlpJHoYpshzEjLbty2,2026-07-06 10:24:45.031+00,2026-07-06 10:24:45.031+00,2026-07-06 10:27:23.823+00,3.0.0 (0)-dev,android,0,ramsharan
9,823,59533,2576056,825905,01KWVDB9RCEMFXK2GMMQYHFMN6,g101,18-121421-124871,6,W7gNBV2QzJZlpJHoYpshzEjLbty2,2026-07-06 10:24:45.031+00,2026-07-06 10:24:45.031+00,2026-07-06 10:27:23.823+00,3.0.0 (0)-dev,android,0,ramsharan
