idx,project_id,user_id,username,groups_completed,total_contributions,agreeing_contributions,disagreeing_contributions,simple_agreement_score
0,01KMMX0C9MG396SCV8W8CZ8RY3,0CWCokwtNyf7kRSfBVdGhl1TryY2,amyblais,7,1890,8850,798,0.9172885572139303
1,01KMMX0C9MG396SCV8W8CZ8RY3,2891ShbnQWMaZ8NV6bIO2mEgYs83,davidemaggi,1,318,1499,91,0.9427672955974843
2,01KMMX0C9MG396SCV8W8CZ8RY3,306j2kUKxlcslPUuq1wdnq0uDoi1,hgwilliams,12,3486,16656,774,0.9555938037865749
3,01KMMX0C9MG396SCV8W8CZ8RY3,33nFOjItEpU6Gk3aVcPNnmlKQhm2,s.jazz,1,276,1505,151,0.908816425120773
4,01KMMX0C9MG396SCV8W8CZ8RY3,3Cv72zTTg9a8zOvJbXUaWT90Iht2,c83508b,1,294,1250,220,0.8503401360544217
5,01KMMX0C9MG396SCV8W8CZ8RY3,3f7brFqQXVe1C3vm4KFLg8ldPVq1,vonmorjo,2,336,1526,172,0.8987043580683156
6,01KMMX0C9MG396SCV8W8CZ8RY3,3tE8WVBSUoOImzL1fDZVsSBOoSH2,sab27,7,2190,10437,831,0.9262513312034079
7,01KMMX0C9MG396SCV8W8CZ8RY3,3whaGluHInOtVBysIhxPzCylfan1,Oskar,3,972,4658,202,0.9584362139917696
8,01KMMX0C9MG396SCV8W8CZ8RY3,4RNXNJ3c7vUovCQLTX3hlf7YhL72,myleendevilla,1,276,1343,37,0.9731884057971014
9,01KMMX0C9MG396SCV8W8CZ8RY3,4amfdg59Zsgpo218BTawEcIufzk1,elijah348,3,654,3345,201,0.94331641285956
